 n     ch_hole col3 col4 col5
    1155 -0.68008492E+01 -0.10320770E-16 -0.73158567E+01  0.36684888E-16
    1156 -0.68018920E+01 -0.10321112E-16 -0.73158567E+01  0.36684888E-16
    1157 -0.68026872E+01 -0.10321188E-16 -0.73158567E+01  0.36684888E-16
    1158 -0.68034862E+01 -0.10321121E-16 -0.73158567E+01  0.36684888E-16
    1159 -0.68042390E+01 -0.10321310E-16 -0.73158567E+01  0.36684888E-16
    1160 -0.68051249E+01 -0.10321714E-16 -0.73158567E+01  0.36684888E-16
    1161 -0.68059144E+01 -0.10321962E-16 -0.73158567E+01  0.36684888E-16
    1162 -0.68066768E+01 -0.10322105E-16 -0.73158567E+01  0.36684888E-16
    1163 -0.68075836E+01 -0.10322617E-16 -0.73158567E+01  0.36684888E-16
    1164 -0.68085533E+01 -0.10323030E-16 -0.73158567E+01  0.36684888E-16
    1165 -0.68093614E+01 -0.10323191E-16 -0.73158567E+01  0.36684888E-16
    1166 -0.68102795E+01 -0.10323256E-16 -0.73158567E+01  0.36684888E-16
    1167 -0.68112325E+01 -0.10322899E-16 -0.73158567E+01  0.36684888E-16
    1168 -0.68120081E+01 -0.10322991E-16 -0.73158567E+01  0.36684888E-16
    1169 -0.68129757E+01 -0.10322741E-16 -0.73158567E+01  0.36684888E-16
    1170 -0.68137349E+01 -0.10322867E-16 -0.73158567E+01  0.36684888E-16
    1171 -0.68145237E+01 -0.10323017E-16 -0.73158567E+01  0.36684888E-16
    1172 -0.68153250E+01 -0.10323263E-16 -0.73158567E+01  0.36684888E-16
    1173 -0.68162272E+01 -0.10323216E-16 -0.73158567E+01  0.36684888E-16
    1174 -0.68169059E+01 -0.10323021E-16 -0.73158567E+01  0.36684888E-16
    1175 -0.68175947E+01 -0.10322940E-16 -0.73158567E+01  0.36684888E-16
    1176 -0.68182739E+01 -0.10323039E-16 -0.73158567E+01  0.36684888E-16
    1177 -0.68190521E+01 -0.10322814E-16 -0.73158567E+01  0.36684888E-16
    1178 -0.68199477E+01 -0.10323230E-16 -0.73158567E+01  0.36684888E-16
    1179 -0.68207239E+01 -0.10323315E-16 -0.73158567E+01  0.36684888E-16
    1180 -0.68214905E+01 -0.10323233E-16 -0.73158567E+01  0.36684888E-16
    1181 -0.68224678E+01 -0.10323824E-16 -0.73158567E+01  0.36684888E-16
    1182 -0.68233738E+01 -0.10324213E-16 -0.73158567E+01  0.36684888E-16
    1183 -0.68241447E+01 -0.10324489E-16 -0.73158567E+01  0.36684888E-16
    1184 -0.68250077E+01 -0.10324875E-16 -0.73158567E+01  0.36684888E-16
    1185 -0.68257825E+01 -0.10324764E-16 -0.73158567E+01  0.36684888E-16
    1186 -0.68264756E+01 -0.10324805E-16 -0.73158567E+01  0.36684888E-16
    1187 -0.68272712E+01 -0.10324850E-16 -0.73158567E+01  0.36684888E-16
    1188 -0.68279699E+01 -0.10324906E-16 -0.73158567E+01  0.36684888E-16
    1189 -0.68287803E+01 -0.10324975E-16 -0.73158567E+01  0.36684888E-16
    1190 -0.68296710E+01 -0.10324847E-16 -0.73158567E+01  0.36684888E-16
    1191 -0.68305681E+01 -0.10324981E-16 -0.73158567E+01  0.36684888E-16
    1192 -0.68314686E+01 -0.10325591E-16 -0.73158567E+01  0.36684888E-16
    1193 -0.68322648E+01 -0.10325662E-16 -0.73158567E+01  0.36684888E-16
    1194 -0.68331776E+01 -0.10325695E-16 -0.73158567E+01  0.36684888E-16
    1195 -0.68339975E+01 -0.10325840E-16 -0.73158567E+01  0.36684888E-16
    1196 -0.68348892E+01 -0.10326172E-16 -0.73158567E+01  0.36684888E-16
    1197 -0.68357786E+01 -0.10326321E-16 -0.73158567E+01  0.36684888E-16
    1198 -0.68366480E+01 -0.10326522E-16 -0.73158567E+01  0.36684888E-16
    1199 -0.68373316E+01 -0.10326671E-16 -0.73158567E+01  0.36684888E-16
    1200 -0.68382382E+01 -0.10326893E-16 -0.73158567E+01  0.36684888E-16
    1201 -0.68392128E+01 -0.10326684E-16 -0.73158567E+01  0.36684888E-16
    1202 -0.68401122E+01 -0.10326387E-16 -0.73158567E+01  0.36684888E-16
    1203 -0.68408880E+01 -0.10326661E-16 -0.73158567E+01  0.36684888E-16
    1204 -0.68417269E+01 -0.10326971E-16 -0.73158567E+01  0.36684888E-16
    1205 -0.68424880E+01 -0.10327068E-16 -0.73158567E+01  0.36684888E-16
    1206 -0.68432882E+01 -0.10327213E-16 -0.73158567E+01  0.36684888E-16
    1207 -0.68440113E+01 -0.10327253E-16 -0.73158567E+01  0.36684888E-16
    1208 -0.68447606E+01 -0.10327698E-16 -0.73158567E+01  0.36684888E-16
    1209 -0.68453989E+01 -0.10327951E-16 -0.73158567E+01  0.36684888E-16
    1210 -0.68460811E+01 -0.10328207E-16 -0.73158567E+01  0.36684888E-16
    1211 -0.68471230E+01 -0.10328639E-16 -0.73158567E+01  0.36684888E-16
    1212 -0.68478961E+01 -0.10328487E-16 -0.73158567E+01  0.36684888E-16
    1213 -0.68486750E+01 -0.10328378E-16 -0.73158567E+01  0.36684888E-16
    1214 -0.68494901E+01 -0.10328567E-16 -0.73158567E+01  0.36684888E-16
    1215 -0.68502115E+01 -0.10328577E-16 -0.73158567E+01  0.36684888E-16
    1216 -0.68509030E+01 -0.10328865E-16 -0.73158567E+01  0.36684888E-16
    1217 -0.68517164E+01 -0.10328792E-16 -0.73158567E+01  0.36684888E-16
    1218 -0.68523960E+01 -0.10328616E-16 -0.73158567E+01  0.36684888E-16
    1219 -0.68531261E+01 -0.10328187E-16 -0.73158567E+01  0.36684888E-16
    1220 -0.68539944E+01 -0.10327990E-16 -0.73158567E+01  0.36684888E-16
    1221 -0.68547535E+01 -0.10328165E-16 -0.73158567E+01  0.36684888E-16
    1222 -0.68554599E+01 -0.10327953E-16 -0.73158567E+01  0.36684888E-16
    1223 -0.68560842E+01 -0.10327931E-16 -0.73158567E+01  0.36684888E-16
    1224 -0.68569123E+01 -0.10327795E-16 -0.73158567E+01  0.36684888E-16
    1225 -0.68577418E+01 -0.10328334E-16 -0.73158567E+01  0.36684888E-16
    1226 -0.68584625E+01 -0.10328232E-16 -0.73158567E+01  0.36684888E-16
    1227 -0.68592109E+01 -0.10328114E-16 -0.73158567E+01  0.36684888E-16
    1228 -0.68600899E+01 -0.10328042E-16 -0.73158567E+01  0.36684888E-16
    1229 -0.68608186E+01 -0.10328137E-16 -0.73158567E+01  0.36684888E-16
    1230 -0.68615918E+01 -0.10328306E-16 -0.73158567E+01  0.36684888E-16
    1231 -0.68622777E+01 -0.10328261E-16 -0.73158567E+01  0.36684888E-16
    1232 -0.68630732E+01 -0.10328032E-16 -0.73158567E+01  0.36684888E-16
    1233 -0.68638769E+01 -0.10328266E-16 -0.73158567E+01  0.36684888E-16
    1234 -0.68646407E+01 -0.10328233E-16 -0.73158567E+01  0.36684888E-16
    1235 -0.68653596E+01 -0.10328533E-16 -0.73158567E+01  0.36684888E-16
    1236 -0.68660314E+01 -0.10328438E-16 -0.73158567E+01  0.36684888E-16
    1237 -0.68666077E+01 -0.10328239E-16 -0.73158567E+01  0.36684888E-16
    1238 -0.68673097E+01 -0.10328472E-16 -0.73158567E+01  0.36684888E-16
