 n     ch_hole col3 col4 col5
     240 -0.62135774E-01 -0.92936668E-18 -0.76075473E+01  0.56990402E-17
     241 -0.62711787E-01 -0.93985610E-18 -0.76075473E+01  0.56990402E-17
     242 -0.63550314E-01 -0.93034691E-18 -0.76075473E+01  0.56990402E-17
     243 -0.64454745E-01 -0.95843177E-18 -0.76075473E+01  0.56990402E-17
     244 -0.65554983E-01 -0.94525612E-18 -0.76075473E+01  0.56990402E-17
     245 -0.66818051E-01 -0.96008343E-18 -0.76075473E+01  0.56990402E-17
     246 -0.68001235E-01 -0.95466568E-18 -0.76075473E+01  0.56990402E-17
     247 -0.69201510E-01 -0.94141755E-18 -0.76075473E+01  0.56990402E-17
     248 -0.70302670E-01 -0.94766998E-18 -0.76075473E+01  0.56990402E-17
     249 -0.71366471E-01 -0.94388553E-18 -0.76075473E+01  0.56990402E-17
     250 -0.72436499E-01 -0.93917880E-18 -0.76075473E+01  0.56990402E-17
     251 -0.74378113E-01 -0.95819062E-18 -0.76075473E+01  0.56990402E-17
     252 -0.76245699E-01 -0.97803764E-18 -0.76075473E+01  0.56990402E-17
     253 -0.78418305E-01 -0.98002418E-18 -0.76075473E+01  0.56990402E-17
     254 -0.80422069E-01 -0.99811990E-18 -0.76075473E+01  0.56990402E-17
     255 -0.82624604E-01 -0.99432028E-18 -0.76075473E+01  0.56990402E-17
     256 -0.84828364E-01 -0.10033708E-17 -0.76075473E+01  0.56990402E-17
     257 -0.84842159E-01 -0.10033706E-17 -0.76075473E+01  0.56990402E-17
     258 -0.84857001E-01 -0.10033719E-17 -0.76075473E+01  0.56990402E-17
     259 -0.84873472E-01 -0.10033852E-17 -0.76075473E+01  0.56990402E-17
     260 -0.84881476E-01 -0.10033867E-17 -0.76075473E+01  0.56990402E-17
     261 -0.84891323E-01 -0.10033899E-17 -0.76075473E+01  0.56990402E-17
     262 -0.84894262E-01 -0.10033903E-17 -0.76075473E+01  0.56990402E-17
     263 -0.84900510E-01 -0.10033904E-17 -0.76075473E+01  0.56990402E-17
