 n     ch_hole col3
     581 -0.50801420E+01 -0.12809566E-17
     582 -0.50808128E+01 -0.12809753E-17
     583 -0.50815666E+01 -0.12810108E-17
     584 -0.50826641E+01 -0.12810483E-17
     585 -0.50835978E+01 -0.12810386E-17
     586 -0.50846423E+01 -0.12810560E-17
     587 -0.50852601E+01 -0.12811144E-17
     588 -0.50868402E+01 -0.12811022E-17
     589 -0.50873994E+01 -0.12811017E-17
     590 -0.50882167E+01 -0.12811847E-17
     591 -0.50888583E+01 -0.12812004E-17
     592 -0.50895421E+01 -0.12812343E-17
     593 -0.50902291E+01 -0.12812580E-17
     594 -0.50910528E+01 -0.12812087E-17
     595 -0.50917445E+01 -0.12811322E-17
     596 -0.50923758E+01 -0.12810676E-17
     597 -0.50928181E+01 -0.12810585E-17
     598 -0.50933440E+01 -0.12810749E-17
     599 -0.50939896E+01 -0.12810797E-17
     600 -0.50953366E+01 -0.12810580E-17
     601 -0.50968013E+01 -0.12811232E-17
     602 -0.50979547E+01 -0.12810749E-17
     603 -0.50983984E+01 -0.12811061E-17
     604 -0.50988951E+01 -0.12811087E-17
     605 -0.50998793E+01 -0.12810369E-17
     606 -0.51003604E+01 -0.12810675E-17
     607 -0.51005327E+01 -0.12810607E-17
     608 -0.51012804E+01 -0.12811172E-17
     609 -0.51020379E+01 -0.12811347E-17
     610 -0.51024576E+01 -0.12811605E-17
     611 -0.51030633E+01 -0.12811953E-17
     612 -0.51039113E+01 -0.12811862E-17
     613 -0.51047399E+01 -0.12811859E-17
     614 -0.51055884E+01 -0.12812052E-17
     615 -0.51063123E+01 -0.12812241E-17
     616 -0.51067824E+01 -0.12812096E-17
     617 -0.51072265E+01 -0.12812360E-17
     618 -0.51076509E+01 -0.12812404E-17
     619 -0.51085288E+01 -0.12812416E-17
     620 -0.51090790E+01 -0.12812633E-17
     621 -0.51098656E+01 -0.12812701E-17
     622 -0.51104103E+01 -0.12812763E-17
     623 -0.51116130E+01 -0.12813076E-17
     624 -0.51124167E+01 -0.12813979E-17
     625 -0.51131450E+01 -0.12814416E-17
     626 -0.51139743E+01 -0.12814298E-17
     627 -0.51153187E+01 -0.12815006E-17
     628 -0.51162640E+01 -0.12815217E-17
     629 -0.51167361E+01 -0.12815486E-17
     630 -0.51177003E+01 -0.12815940E-17
