n     ch_hole col3
    2089 -0.56554949E+01 -0.12997370E-17
    2090 -0.56557174E+01 -0.12997395E-17
    2091 -0.56558688E+01 -0.12997389E-17
    2092 -0.56561876E+01 -0.12997424E-17
    2093 -0.56564250E+01 -0.12997439E-17
    2094 -0.56566418E+01 -0.12997484E-17
    2095 -0.56568743E+01 -0.12997456E-17
    2096 -0.56570379E+01 -0.12997442E-17
    2097 -0.56573095E+01 -0.12997442E-17
    2098 -0.56575137E+01 -0.12997460E-17
    2099 -0.56577996E+01 -0.12997476E-17
    2100 -0.56582177E+01 -0.12997432E-17
    2101 -0.56585238E+01 -0.12997462E-17
    2102 -0.56588331E+01 -0.12997392E-17
    2103 -0.56592098E+01 -0.12997190E-17
    2104 -0.56595349E+01 -0.12997202E-17
    2105 -0.56597898E+01 -0.12997313E-17
    2106 -0.56600560E+01 -0.12997213E-17
    2107 -0.56603733E+01 -0.12997271E-17
    2108 -0.56606441E+01 -0.12997316E-17
    2109 -0.56608697E+01 -0.12997368E-17
    2110 -0.56611150E+01 -0.12997406E-17
    2111 -0.56614292E+01 -0.12997453E-17
    2112 -0.56617159E+01 -0.12997444E-17
    2113 -0.56620744E+01 -0.12997383E-17
    2114 -0.56622582E+01 -0.12997483E-17
    2115 -0.56624352E+01 -0.12997477E-17
    2116 -0.56627437E+01 -0.12997393E-17
    2117 -0.56629541E+01 -0.12997426E-17
    2118 -0.56631726E+01 -0.12997319E-17
    2119 -0.56634870E+01 -0.12997271E-17
    2120 -0.56636605E+01 -0.12997277E-17
    2121 -0.56638890E+01 -0.12997329E-17
    2122 -0.56640802E+01 -0.12997323E-17
    2123 -0.56642764E+01 -0.12997341E-17
    2124 -0.56644519E+01 -0.12997306E-17
    2125 -0.56645860E+01 -0.12997290E-17
    2126 -0.56647576E+01 -0.12997332E-17
    2127 -0.56649241E+01 -0.12997279E-17
    2128 -0.56650984E+01 -0.12997275E-17
    2129 -0.56652112E+01 -0.12997258E-17
    2130 -0.56653571E+01 -0.12997171E-17
    2131 -0.56655366E+01 -0.12997164E-17
    2132 -0.56657700E+01 -0.12997202E-17
    2133 -0.56659827E+01 -0.12997210E-17
    2134 -0.56661349E+01 -0.12997248E-17
    2135 -0.56663171E+01 -0.12997235E-17
    2136 -0.56664918E+01 -0.12997224E-17
    2137 -0.56665732E+01 -0.12997224E-17
    2138 -0.56667472E+01 -0.12997230E-17
    2139 -0.56670318E+01 -0.12997077E-17
    2140 -0.56672811E+01 -0.12997075E-17
    2141 -0.56675414E+01 -0.12997076E-17
    2142 -0.56677527E+01 -0.12997081E-17
    2143 -0.56680592E+01 -0.12997051E-17
    2144 -0.56683446E+01 -0.12997074E-17
    2145 -0.56686106E+01 -0.12997120E-17
    2146 -0.56688410E+01 -0.12997145E-17
    2147 -0.56690506E+01 -0.12997160E-17
    2148 -0.56691867E+01 -0.12997148E-17
    2149 -0.56693682E+01 -0.12997167E-17
    2150 -0.56696347E+01 -0.12997211E-17
    2151 -0.56698591E+01 -0.12997194E-17
    2152 -0.56700391E+01 -0.12997196E-17
    2153 -0.56701614E+01 -0.12997207E-17
    2154 -0.56702710E+01 -0.12997264E-17
    2155 -0.56704175E+01 -0.12997240E-17
    2156 -0.56706210E+01 -0.12997196E-17
    2157 -0.56708264E+01 -0.12997137E-17
    2158 -0.56709718E+01 -0.12997098E-17
    2159 -0.56711782E+01 -0.12997030E-17
    2160 -0.56712832E+01 -0.12997033E-17
    2161 -0.56714359E+01 -0.12997026E-17
    2162 -0.56717774E+01 -0.12996959E-17
    2163 -0.56719773E+01 -0.12996977E-17
    2164 -0.56722234E+01 -0.12997005E-17
    2165 -0.56725581E+01 -0.12996959E-17
    2166 -0.56728289E+01 -0.12996977E-17
    2167 -0.56730418E+01 -0.12996997E-17
    2168 -0.56731477E+01 -0.12997018E-17
    2169 -0.56732853E+01 -0.12997056E-17
    2170 -0.56734423E+01 -0.12997082E-17
    2171 -0.56736100E+01 -0.12997059E-17
    2172 -0.56738887E+01 -0.12997100E-17
    2173 -0.56740970E+01 -0.12997066E-17
    2174 -0.56743451E+01 -0.12997103E-17
    2175 -0.56745645E+01 -0.12997160E-17
    2176 -0.56746724E+01 -0.12997173E-17
    2177 -0.56749065E+01 -0.12997156E-17
    2178 -0.56750258E+01 -0.12997118E-17
    2179 -0.56751373E+01 -0.12997150E-17
    2180 -0.56753273E+01 -0.12997124E-17
    2181 -0.56754552E+01 -0.12997141E-17
    2182 -0.56755706E+01 -0.12997154E-17
    2183 -0.56757589E+01 -0.12997157E-17
    2184 -0.56758872E+01 -0.12997140E-17
    2185 -0.56760476E+01 -0.12997149E-17
    2186 -0.56762132E+01 -0.12997219E-17
    2187 -0.56763531E+01 -0.12997241E-17
    2188 -0.56765029E+01 -0.12997245E-17
    2189 -0.56767439E+01 -0.12997344E-17
    2190 -0.56768788E+01 -0.12997330E-17
    2191 -0.56770231E+01 -0.12997348E-17
    2192 -0.56772181E+01 -0.12997267E-17
    2193 -0.56774174E+01 -0.12997308E-17
    2194 -0.56775556E+01 -0.12997299E-17
    2195 -0.56777448E+01 -0.12997295E-17
    2196 -0.56778972E+01 -0.12997267E-17
    2197 -0.56780061E+01 -0.12997257E-17
    2198 -0.56781177E+01 -0.12997281E-17
    2199 -0.56782303E+01 -0.12997243E-17
    2200 -0.56783418E+01 -0.12997273E-17
    2201 -0.56785231E+01 -0.12997220E-17
    2202 -0.56786955E+01 -0.12997209E-17
    2203 -0.56788127E+01 -0.12997214E-17
    2204 -0.56789361E+01 -0.12997200E-17
    2205 -0.56790341E+01 -0.12997190E-17
    2206 -0.56792302E+01 -0.12997223E-17
    2207 -0.56794461E+01 -0.12997246E-17
    2208 -0.56796196E+01 -0.12997247E-17
    2209 -0.56798147E+01 -0.12997256E-17
    2210 -0.56800225E+01 -0.12997255E-17
    2211 -0.56801851E+01 -0.12997269E-17
    2212 -0.56803914E+01 -0.12997281E-17
    2213 -0.56805722E+01 -0.12997200E-17
    2214 -0.56807879E+01 -0.12997217E-17
    2215 -0.56809675E+01 -0.12997212E-17
    2216 -0.56811483E+01 -0.12997209E-17
    2217 -0.56812652E+01 -0.12997203E-17
    2218 -0.56814686E+01 -0.12997208E-17
    2219 -0.56816430E+01 -0.12997177E-17
    2220 -0.56818657E+01 -0.12997183E-17
    2221 -0.56819985E+01 -0.12997128E-17
    2222 -0.56822782E+01 -0.12997167E-17
    2223 -0.56825195E+01 -0.12997054E-17
    2224 -0.56826471E+01 -0.12997061E-17
    2225 -0.56828153E+01 -0.12997096E-17
    2226 -0.56830063E+01 -0.12997112E-17
    2227 -0.56831140E+01 -0.12997083E-17
    2228 -0.56832541E+01 -0.12997044E-17
    2229 -0.56834198E+01 -0.12997092E-17
    2230 -0.56836140E+01 -0.12997068E-17
    2231 -0.56837616E+01 -0.12997101E-17
    2232 -0.56839210E+01 -0.12997173E-17
    2233 -0.56840592E+01 -0.12997149E-17
    2234 -0.56841991E+01 -0.12997134E-17
    2235 -0.56843604E+01 -0.12997122E-17
    2236 -0.56846009E+01 -0.12997185E-17
    2237 -0.56847312E+01 -0.12997241E-17
    2238 -0.56849277E+01 -0.12997211E-17
    2239 -0.56851543E+01 -0.12997193E-17
    2240 -0.56852792E+01 -0.12997175E-17
    2241 -0.56854737E+01 -0.12997237E-17
    2242 -0.56855584E+01 -0.12997251E-17
    2243 -0.56857061E+01 -0.12997241E-17
    2244 -0.56858067E+01 -0.12997248E-17
    2245 -0.56859478E+01 -0.12997208E-17
    2246 -0.56861173E+01 -0.12997167E-17
    2247 -0.56862709E+01 -0.12997157E-17
    2248 -0.56863889E+01 -0.12997188E-17
    2249 -0.56865011E+01 -0.12997154E-17
    2250 -0.56865882E+01 -0.12997176E-17
    2251 -0.56867139E+01 -0.12997221E-17
    2252 -0.56869370E+01 -0.12997343E-17
    2253 -0.56871112E+01 -0.12997310E-17
    2254 -0.56872762E+01 -0.12997214E-17
    2255 -0.56875413E+01 -0.12997210E-17
    2256 -0.56876716E+01 -0.12997189E-17
    2257 -0.56877945E+01 -0.12997192E-17
    2258 -0.56879809E+01 -0.12997182E-17
    2259 -0.56881723E+01 -0.12997180E-17
    2260 -0.56883772E+01 -0.12997173E-17
    2261 -0.56885569E+01 -0.12997186E-17
    2262 -0.56888047E+01 -0.12997280E-17
    2263 -0.56890042E+01 -0.12997316E-17
    2264 -0.56892242E+01 -0.12997345E-17
    2265 -0.56893891E+01 -0.12997290E-17
    2266 -0.56895396E+01 -0.12997291E-17
    2267 -0.56897248E+01 -0.12997257E-17
    2268 -0.56898451E+01 -0.12997231E-17
    2269 -0.56900513E+01 -0.12997251E-17
    2270 -0.56902772E+01 -0.12997263E-17
    2271 -0.56905223E+01 -0.12997229E-17
    2272 -0.56907133E+01 -0.12997292E-17
    2273 -0.56909249E+01 -0.12997342E-17
    2274 -0.56911910E+01 -0.12997309E-17
    2275 -0.56913352E+01 -0.12997338E-17
    2276 -0.56916176E+01 -0.12997254E-17
    2277 -0.56917517E+01 -0.12997231E-17
    2278 -0.56918773E+01 -0.12997230E-17
    2279 -0.56920475E+01 -0.12997219E-17
    2280 -0.56923061E+01 -0.12997200E-17
    2281 -0.56924189E+01 -0.12997160E-17
    2282 -0.56925695E+01 -0.12997184E-17
    2283 -0.56928472E+01 -0.12997217E-17
    2284 -0.56930645E+01 -0.12997187E-17
    2285 -0.56932899E+01 -0.12997174E-17
    2286 -0.56934469E+01 -0.12997185E-17
    2287 -0.56937242E+01 -0.12997206E-17
    2288 -0.56940888E+01 -0.12997204E-17
    2289 -0.56942490E+01 -0.12997240E-17
    2290 -0.56944145E+01 -0.12997330E-17
    2291 -0.56945724E+01 -0.12997360E-17
    2292 -0.56947657E+01 -0.12997368E-17
    2293 -0.56949045E+01 -0.12997362E-17
    2294 -0.56950830E+01 -0.12997389E-17
    2295 -0.56953287E+01 -0.12997361E-17
    2296 -0.56954536E+01 -0.12997369E-17
    2297 -0.56956171E+01 -0.12997447E-17
    2298 -0.56959414E+01 -0.12997495E-17
    2299 -0.56961416E+01 -0.12997464E-17
    2300 -0.56963470E+01 -0.12997404E-17
    2301 -0.56964976E+01 -0.12997393E-17
    2302 -0.56966245E+01 -0.12997390E-17
    2303 -0.56968689E+01 -0.12997395E-17
    2304 -0.56971133E+01 -0.12997381E-17
    2305 -0.56973263E+01 -0.12997344E-17
    2306 -0.56975054E+01 -0.12997343E-17
    2307 -0.56977560E+01 -0.12997359E-17
    2308 -0.56979289E+01 -0.12997326E-17
    2309 -0.56981128E+01 -0.12997325E-17
    2310 -0.56983084E+01 -0.12997431E-17
    2311 -0.56984787E+01 -0.12997374E-17
    2312 -0.56986417E+01 -0.12997364E-17
    2313 -0.56989010E+01 -0.12997284E-17
    2314 -0.56990314E+01 -0.12997275E-17
    2315 -0.56992074E+01 -0.12997249E-17
    2316 -0.56993635E+01 -0.12997298E-17
    2317 -0.56995588E+01 -0.12997242E-17
    2318 -0.56996401E+01 -0.12997204E-17
    2319 -0.56997393E+01 -0.12997201E-17
    2320 -0.56999350E+01 -0.12997230E-17
    2321 -0.57001357E+01 -0.12997276E-17
    2322 -0.57002944E+01 -0.12997266E-17
    2323 -0.57004916E+01 -0.12997196E-17
    2324 -0.57007106E+01 -0.12997182E-17
    2325 -0.57009326E+01 -0.12997100E-17
    2326 -0.57010830E+01 -0.12997115E-17
    2327 -0.57012026E+01 -0.12997154E-17
    2328 -0.57013103E+01 -0.12997174E-17
    2329 -0.57014647E+01 -0.12997128E-17
    2330 -0.57017318E+01 -0.12997150E-17
    2331 -0.57019138E+01 -0.12997191E-17
    2332 -0.57021777E+01 -0.12997119E-17
    2333 -0.57025509E+01 -0.12997112E-17
    2334 -0.57027148E+01 -0.12997085E-17
    2335 -0.57029470E+01 -0.12997128E-17
    2336 -0.57031653E+01 -0.12997178E-17
    2337 -0.57033254E+01 -0.12997162E-17
    2338 -0.57035027E+01 -0.12997135E-17
    2339 -0.57037313E+01 -0.12997148E-17
    2340 -0.57039605E+01 -0.12997185E-17
    2341 -0.57042175E+01 -0.12997092E-17
    2342 -0.57044436E+01 -0.12997100E-17
    2343 -0.57046925E+01 -0.12997002E-17
    2344 -0.57049543E+01 -0.12997027E-17
    2345 -0.57051375E+01 -0.12997094E-17
    2346 -0.57053809E+01 -0.12997195E-17
    2347 -0.57056119E+01 -0.12997115E-17
    2348 -0.57058998E+01 -0.12997169E-17
    2349 -0.57060371E+01 -0.12997139E-17
    2350 -0.57062432E+01 -0.12997148E-17
    2351 -0.57065809E+01 -0.12997159E-17
    2352 -0.57068292E+01 -0.12997100E-17
    2353 -0.57070480E+01 -0.12997134E-17
    2354 -0.57073238E+01 -0.12997091E-17
    2355 -0.57074765E+01 -0.12997041E-17
    2356 -0.57076377E+01 -0.12997033E-17
    2357 -0.57078715E+01 -0.12997078E-17
    2358 -0.57081318E+01 -0.12997170E-17
    2359 -0.57084053E+01 -0.12997094E-17
    2360 -0.57087470E+01 -0.12997064E-17
    2361 -0.57090169E+01 -0.12997137E-17
    2362 -0.57092340E+01 -0.12997090E-17
    2363 -0.57095495E+01 -0.12997126E-17
    2364 -0.57098815E+01 -0.12997249E-17
    2365 -0.57101338E+01 -0.12997205E-17
    2366 -0.57104626E+01 -0.12997026E-17
    2367 -0.57106436E+01 -0.12996999E-17
    2368 -0.57108083E+01 -0.12997011E-17
    2369 -0.57110069E+01 -0.12997045E-17
    2370 -0.57112336E+01 -0.12997153E-17
    2371 -0.57114029E+01 -0.12997113E-17
    2372 -0.57116288E+01 -0.12997085E-17
    2373 -0.57117476E+01 -0.12997074E-17
    2374 -0.57119112E+01 -0.12997149E-17
    2375 -0.57119953E+01 -0.12997157E-17
    2376 -0.57122212E+01 -0.12997148E-17
    2377 -0.57123925E+01 -0.12997129E-17
    2378 -0.57125748E+01 -0.12997091E-17
    2379 -0.57127380E+01 -0.12997032E-17
    2380 -0.57128861E+01 -0.12996960E-17
    2381 -0.57130455E+01 -0.12996988E-17
    2382 -0.57132763E+01 -0.12996991E-17
    2383 -0.57134969E+01 -0.12996901E-17
