 n     ch_hole col3 
    3054 -0.58116909E+01 -0.12923174E-17
    3055 -0.58117628E+01 -0.12923161E-17
    3056 -0.58119105E+01 -0.12923158E-17
    3057 -0.58119640E+01 -0.12923169E-17
    3058 -0.58120121E+01 -0.12923185E-17
    3059 -0.58120824E+01 -0.12923160E-17
    3060 -0.58121501E+01 -0.12923168E-17
    3061 -0.58122263E+01 -0.12923153E-17
    3062 -0.58123272E+01 -0.12923163E-17
    3063 -0.58124089E+01 -0.12923180E-17
    3064 -0.58125569E+01 -0.12923189E-17
    3065 -0.58126401E+01 -0.12923160E-17
    3066 -0.58127286E+01 -0.12923159E-17
    3067 -0.58128550E+01 -0.12923173E-17
    3068 -0.58129381E+01 -0.12923144E-17
    3069 -0.58130582E+01 -0.12923164E-17
    3070 -0.58131670E+01 -0.12923171E-17
    3071 -0.58132674E+01 -0.12923191E-17
    3072 -0.58133762E+01 -0.12923191E-17
    3073 -0.58134827E+01 -0.12923164E-17
    3074 -0.58135978E+01 -0.12923175E-17
    3075 -0.58137181E+01 -0.12923146E-17
    3076 -0.58138363E+01 -0.12923142E-17
    3077 -0.58139444E+01 -0.12923155E-17
    3078 -0.58141208E+01 -0.12923139E-17
    3079 -0.58142703E+01 -0.12923117E-17
    3080 -0.58144200E+01 -0.12923117E-17
    3081 -0.58145681E+01 -0.12923097E-17
    3082 -0.58147494E+01 -0.12923071E-17
    3083 -0.58148865E+01 -0.12923094E-17
    3084 -0.58149560E+01 -0.12923095E-17
    3085 -0.58151087E+01 -0.12923117E-17
    3086 -0.58151890E+01 -0.12923115E-17
    3087 -0.58152813E+01 -0.12923131E-17
    3088 -0.58153705E+01 -0.12923135E-17
    3089 -0.58154699E+01 -0.12923138E-17
    3090 -0.58155999E+01 -0.12923109E-17
    3091 -0.58157021E+01 -0.12923103E-17
    3092 -0.58158400E+01 -0.12923117E-17
    3093 -0.58159570E+01 -0.12923094E-17
    3094 -0.58160459E+01 -0.12923099E-17
    3095 -0.58161041E+01 -0.12923089E-17
    3096 -0.58161920E+01 -0.12923142E-17
    3097 -0.58162963E+01 -0.12923163E-17
    3098 -0.58163737E+01 -0.12923154E-17
    3099 -0.58164177E+01 -0.12923161E-17
    3100 -0.58165007E+01 -0.12923187E-17
    3101 -0.58165594E+01 -0.12923190E-17
    3102 -0.58166444E+01 -0.12923201E-17
    3103 -0.58167188E+01 -0.12923207E-17
    3104 -0.58168100E+01 -0.12923210E-17
    3105 -0.58169236E+01 -0.12923204E-17
    3106 -0.58170681E+01 -0.12923214E-17
    3107 -0.58172222E+01 -0.12923242E-17
    3108 -0.58174245E+01 -0.12923232E-17
    3109 -0.58175325E+01 -0.12923209E-17
    3110 -0.58177318E+01 -0.12923208E-17
    3111 -0.58178341E+01 -0.12923206E-17
    3112 -0.58179505E+01 -0.12923194E-17
    3113 -0.58180733E+01 -0.12923211E-17
    3114 -0.58181689E+01 -0.12923223E-17
    3115 -0.58182736E+01 -0.12923237E-17
    3116 -0.58183760E+01 -0.12923240E-17
    3117 -0.58185055E+01 -0.12923225E-17
    3118 -0.58186535E+01 -0.12923209E-17
    3119 -0.58187711E+01 -0.12923192E-17
    3120 -0.58188936E+01 -0.12923191E-17
    3121 -0.58190235E+01 -0.12923200E-17
    3122 -0.58190985E+01 -0.12923232E-17
    3123 -0.58192383E+01 -0.12923259E-17
    3124 -0.58193115E+01 -0.12923283E-17
    3125 -0.58193879E+01 -0.12923279E-17
    3126 -0.58195038E+01 -0.12923293E-17
    3127 -0.58195933E+01 -0.12923279E-17
    3128 -0.58196720E+01 -0.12923274E-17
    3129 -0.58197556E+01 -0.12923271E-17
    3130 -0.58198755E+01 -0.12923242E-17
    3131 -0.58199878E+01 -0.12923273E-17
    3132 -0.58201645E+01 -0.12923249E-17
    3133 -0.58202662E+01 -0.12923236E-17
    3134 -0.58203762E+01 -0.12923234E-17
    3135 -0.58204631E+01 -0.12923237E-17
    3136 -0.58205662E+01 -0.12923241E-17
    3137 -0.58206761E+01 -0.12923237E-17
    3138 -0.58207740E+01 -0.12923232E-17
    3139 -0.58208811E+01 -0.12923219E-17
    3140 -0.58209995E+01 -0.12923223E-17
    3141 -0.58210874E+01 -0.12923231E-17
    3142 -0.58211923E+01 -0.12923222E-17
    3143 -0.58212723E+01 -0.12923211E-17
    3144 -0.58214518E+01 -0.12923177E-17
    3145 -0.58215922E+01 -0.12923155E-17
    3146 -0.58216869E+01 -0.12923132E-17
    3147 -0.58217976E+01 -0.12923129E-17
    3148 -0.58219508E+01 -0.12923106E-17
    3149 -0.58220366E+01 -0.12923117E-17
    3150 -0.58222101E+01 -0.12923101E-17
    3151 -0.58222833E+01 -0.12923092E-17
    3152 -0.58223727E+01 -0.12923069E-17
    3153 -0.58225196E+01 -0.12923012E-17
    3154 -0.58226278E+01 -0.12923017E-17
    3155 -0.58227111E+01 -0.12923044E-17
    3156 -0.58227717E+01 -0.12923040E-17
    3157 -0.58228609E+01 -0.12923061E-17
    3158 -0.58229625E+01 -0.12923060E-17
    3159 -0.58230637E+01 -0.12923045E-17
    3160 -0.58231653E+01 -0.12923065E-17
    3161 -0.58232407E+01 -0.12923077E-17
    3162 -0.58233665E+01 -0.12923061E-17
    3163 -0.58234706E+01 -0.12923063E-17
    3164 -0.58236086E+01 -0.12923050E-17
    3165 -0.58237389E+01 -0.12923045E-17
    3166 -0.58238428E+01 -0.12923053E-17
    3167 -0.58240037E+01 -0.12923006E-17
    3168 -0.58241170E+01 -0.12922986E-17
    3169 -0.58242433E+01 -0.12922995E-17
    3170 -0.58243518E+01 -0.12922981E-17
    3171 -0.58244671E+01 -0.12922974E-17
    3172 -0.58246075E+01 -0.12922938E-17
    3173 -0.58247278E+01 -0.12922921E-17
    3174 -0.58248456E+01 -0.12922953E-17
    3175 -0.58249163E+01 -0.12922967E-17
    3176 -0.58250654E+01 -0.12922947E-17
    3177 -0.58252818E+01 -0.12922968E-17
    3178 -0.58254269E+01 -0.12922937E-17
    3179 -0.58255485E+01 -0.12922930E-17
    3180 -0.58256385E+01 -0.12922918E-17
    3181 -0.58258679E+01 -0.12922942E-17
    3182 -0.58260437E+01 -0.12922950E-17
    3183 -0.58261827E+01 -0.12922930E-17
    3184 -0.58263151E+01 -0.12922932E-17
    3185 -0.58265073E+01 -0.12922891E-17
    3186 -0.58266479E+01 -0.12922864E-17
    3187 -0.58267910E+01 -0.12922853E-17
    3188 -0.58269342E+01 -0.12922868E-17
    3189 -0.58270766E+01 -0.12922885E-17
    3190 -0.58272099E+01 -0.12922853E-17
    3191 -0.58273644E+01 -0.12922923E-17
    3192 -0.58274947E+01 -0.12922937E-17
    3193 -0.58276331E+01 -0.12922963E-17
    3194 -0.58277546E+01 -0.12922971E-17
    3195 -0.58279210E+01 -0.12922962E-17
    3196 -0.58280405E+01 -0.12922932E-17
    3197 -0.58281462E+01 -0.12922931E-17
    3198 -0.58282768E+01 -0.12922878E-17
    3199 -0.58284053E+01 -0.12922878E-17
    3200 -0.58285361E+01 -0.12922903E-17
    3201 -0.58286308E+01 -0.12922898E-17
    3202 -0.58287413E+01 -0.12922907E-17
    3203 -0.58288832E+01 -0.12922956E-17
    3204 -0.58289963E+01 -0.12922941E-17
    3205 -0.58291571E+01 -0.12922957E-17
    3206 -0.58293024E+01 -0.12922972E-17
    3207 -0.58294145E+01 -0.12922999E-17
    3208 -0.58295243E+01 -0.12923014E-17
    3209 -0.58296043E+01 -0.12923038E-17
    3210 -0.58297603E+01 -0.12923027E-17
    3211 -0.58298915E+01 -0.12923003E-17
    3212 -0.58300017E+01 -0.12922991E-17
    3213 -0.58301486E+01 -0.12922947E-17
    3214 -0.58302622E+01 -0.12922966E-17
    3215 -0.58303591E+01 -0.12922979E-17
    3216 -0.58304750E+01 -0.12922971E-17
    3217 -0.58305850E+01 -0.12922954E-17
    3218 -0.58307126E+01 -0.12922949E-17
    3219 -0.58308200E+01 -0.12922901E-17
    3220 -0.58309363E+01 -0.12922922E-17
    3221 -0.58310743E+01 -0.12922898E-17
    3222 -0.58312019E+01 -0.12922924E-17
    3223 -0.58313155E+01 -0.12922972E-17
    3224 -0.58314123E+01 -0.12922964E-17
    3225 -0.58315041E+01 -0.12922952E-17
    3226 -0.58315793E+01 -0.12922908E-17
    3227 -0.58316768E+01 -0.12922905E-17
    3228 -0.58317595E+01 -0.12922919E-17
    3229 -0.58318543E+01 -0.12922908E-17
    3230 -0.58319791E+01 -0.12922923E-17
    3231 -0.58320948E+01 -0.12922940E-17
    3232 -0.58322081E+01 -0.12922946E-17
    3233 -0.58323293E+01 -0.12922963E-17
    3234 -0.58324525E+01 -0.12922995E-17
    3235 -0.58325320E+01 -0.12922974E-17
    3236 -0.58326442E+01 -0.12922964E-17
    3237 -0.58327374E+01 -0.12922968E-17
    3238 -0.58328430E+01 -0.12922971E-17
    3239 -0.58329247E+01 -0.12922973E-17
    3240 -0.58330364E+01 -0.12922951E-17
    3241 -0.58331022E+01 -0.12922948E-17
    3242 -0.58332665E+01 -0.12922915E-17
    3243 -0.58333971E+01 -0.12922972E-17
    3244 -0.58334954E+01 -0.12922952E-17
    3245 -0.58335799E+01 -0.12922943E-17
    3246 -0.58336942E+01 -0.12922953E-17
    3247 -0.58338107E+01 -0.12922902E-17
    3248 -0.58339018E+01 -0.12922901E-17
    3249 -0.58340550E+01 -0.12922875E-17
    3250 -0.58341667E+01 -0.12922886E-17
    3251 -0.58342215E+01 -0.12922882E-17
    3252 -0.58342967E+01 -0.12922899E-17
    3253 -0.58343718E+01 -0.12922890E-17
    3254 -0.58344583E+01 -0.12922916E-17
    3255 -0.58345483E+01 -0.12922921E-17
    3256 -0.58346373E+01 -0.12922919E-17
    3257 -0.58347012E+01 -0.12922889E-17
    3258 -0.58347503E+01 -0.12922892E-17
    3259 -0.58348201E+01 -0.12922912E-17
    3260 -0.58348777E+01 -0.12922900E-17
    3261 -0.58349566E+01 -0.12922905E-17
    3262 -0.58350091E+01 -0.12922917E-17
    3263 -0.58351083E+01 -0.12922914E-17
    3264 -0.58352018E+01 -0.12922930E-17
    3265 -0.58352788E+01 -0.12922920E-17
    3266 -0.58353731E+01 -0.12922937E-17
    3267 -0.58354903E+01 -0.12922943E-17
    3268 -0.58355777E+01 -0.12922949E-17
    3269 -0.58356508E+01 -0.12922950E-17
    3270 -0.58357414E+01 -0.12922949E-17
    3271 -0.58357953E+01 -0.12922946E-17
    3272 -0.58358445E+01 -0.12922961E-17
    3273 -0.58359500E+01 -0.12922947E-17
    3274 -0.58360833E+01 -0.12923004E-17
    3275 -0.58361513E+01 -0.12922997E-17
    3276 -0.58362527E+01 -0.12923010E-17
    3277 -0.58363006E+01 -0.12923019E-17
    3278 -0.58363825E+01 -0.12923007E-17
    3279 -0.58364283E+01 -0.12923014E-17
    3280 -0.58364990E+01 -0.12923015E-17
    3281 -0.58365464E+01 -0.12923011E-17
