n ch_hole col3
    1369 -0.69064550E+01 -0.93475365E-17
    1370 -0.69071512E+01 -0.93474088E-17
    1371 -0.69079089E+01 -0.93474553E-17
    1372 -0.69086588E+01 -0.93474536E-17
    1373 -0.69093808E+01 -0.93472947E-17
    1374 -0.69101586E+01 -0.93473346E-17
    1375 -0.69107646E+01 -0.93472042E-17
    1376 -0.69113367E+01 -0.93466228E-17
    1377 -0.69120857E+01 -0.93465287E-17
    1378 -0.69129295E+01 -0.93462150E-17
    1379 -0.69135051E+01 -0.93460408E-17
    1380 -0.69143644E+01 -0.93455892E-17
    1381 -0.69150505E+01 -0.93454628E-17
    1382 -0.69156409E+01 -0.93457510E-17
    1383 -0.69164802E+01 -0.93452265E-17
    1384 -0.69172570E+01 -0.93448594E-17
    1385 -0.69178569E+01 -0.93450594E-17
    1386 -0.69186928E+01 -0.93448994E-17
    1387 -0.69194607E+01 -0.93448378E-17
    1388 -0.69201484E+01 -0.93445661E-17
    1389 -0.69210651E+01 -0.93447537E-17
    1390 -0.69217170E+01 -0.93447684E-17
    1391 -0.69224516E+01 -0.93447882E-17
    1392 -0.69231156E+01 -0.93447824E-17
    1393 -0.69237354E+01 -0.93449086E-17
    1394 -0.69244281E+01 -0.93451968E-17
    1395 -0.69251243E+01 -0.93453984E-17
    1396 -0.69258245E+01 -0.93454734E-17
    1397 -0.69264843E+01 -0.93455402E-17
    1398 -0.69272579E+01 -0.93455887E-17
    1399 -0.69280007E+01 -0.93452405E-17
    1400 -0.69286997E+01 -0.93454337E-17
    1401 -0.69292566E+01 -0.93456192E-17
    1402 -0.69299306E+01 -0.93458688E-17
    1403 -0.69303553E+01 -0.93458678E-17
    1404 -0.69308907E+01 -0.93461049E-17
    1405 -0.69315519E+01 -0.93461144E-17
    1406 -0.69323262E+01 -0.93462700E-17
    1407 -0.69330260E+01 -0.93461620E-17
    1408 -0.69336084E+01 -0.93460607E-17
    1409 -0.69342830E+01 -0.93460895E-17
    1410 -0.69350084E+01 -0.93461172E-17
    1411 -0.69356007E+01 -0.93463577E-17
    1412 -0.69362422E+01 -0.93465649E-17
    1413 -0.69368657E+01 -0.93466873E-17
    1414 -0.69376645E+01 -0.93467859E-17
    1415 -0.69382571E+01 -0.93467537E-17
    1416 -0.69387354E+01 -0.93467074E-17
    1417 -0.69392336E+01 -0.93462674E-17
    1418 -0.69397690E+01 -0.93461164E-17
    1419 -0.69403017E+01 -0.93461586E-17
    1420 -0.69409353E+01 -0.93461849E-17
    1421 -0.69414992E+01 -0.93461292E-17
    1422 -0.69420172E+01 -0.93459061E-17
    1423 -0.69425905E+01 -0.93460765E-17
    1424 -0.69431676E+01 -0.93461023E-17
    1425 -0.69436796E+01 -0.93463539E-17
    1426 -0.69442226E+01 -0.93465506E-17
    1427 -0.69447046E+01 -0.93467616E-17
    1428 -0.69452748E+01 -0.93467129E-17
    1429 -0.69458869E+01 -0.93465416E-17
    1430 -0.69465087E+01 -0.93462791E-17
    1431 -0.69471024E+01 -0.93463651E-17
    1432 -0.69477690E+01 -0.93465678E-17
    1433 -0.69484170E+01 -0.93467816E-17
    1434 -0.69491459E+01 -0.93469025E-17
    1435 -0.69497078E+01 -0.93470727E-17
    1436 -0.69503200E+01 -0.93471126E-17
    1437 -0.69509207E+01 -0.93470437E-17
    1438 -0.69515485E+01 -0.93470065E-17
    1439 -0.69519819E+01 -0.93469955E-17
    1440 -0.69525041E+01 -0.93469938E-17
    1441 -0.69530546E+01 -0.93472043E-17
    1442 -0.69535688E+01 -0.93475912E-17
    1443 -0.69541496E+01 -0.93474631E-17
    1444 -0.69546397E+01 -0.93475322E-17
    1445 -0.69552363E+01 -0.93474709E-17
    1446 -0.69558910E+01 -0.93473952E-17
    1447 -0.69564734E+01 -0.93474799E-17
    1448 -0.69570217E+01 -0.93475121E-17
    1449 -0.69575775E+01 -0.93473382E-17
    1450 -0.69580615E+01 -0.93472821E-17
    1451 -0.69585903E+01 -0.93470476E-17
    1452 -0.69591709E+01 -0.93471319E-17
    1453 -0.69596900E+01 -0.93471725E-17
    1454 -0.69602681E+01 -0.93469552E-17
    1455 -0.69608324E+01 -0.93470177E-17
    1456 -0.69613261E+01 -0.93469141E-17
    1457 -0.69618684E+01 -0.93469948E-17
    1458 -0.69624593E+01 -0.93469616E-17
    1459 -0.69629267E+01 -0.93470511E-17
    1460 -0.69634693E+01 -0.93471639E-17
    1461 -0.69640497E+01 -0.93470901E-17
    1462 -0.69645969E+01 -0.93473002E-17
    1463 -0.69651126E+01 -0.93474291E-17
    1464 -0.69656066E+01 -0.93474621E-17
    1465 -0.69660920E+01 -0.93475580E-17
    1466 -0.69666527E+01 -0.93475241E-17
    1467 -0.69672891E+01 -0.93471892E-17
    1468 -0.69678156E+01 -0.93471056E-17
    1469 -0.69684139E+01 -0.93469848E-17
    1470 -0.69689775E+01 -0.93470263E-17
    1471 -0.69696058E+01 -0.93469555E-17
    1472 -0.69701537E+01 -0.93469336E-17
    1473 -0.69706808E+01 -0.93470456E-17
    1474 -0.69711771E+01 -0.93469030E-17
    1475 -0.69716583E+01 -0.93469165E-17
    1476 -0.69721508E+01 -0.93469965E-17
    1477 -0.69727542E+01 -0.93468334E-17
    1478 -0.69733031E+01 -0.93466774E-17
    1479 -0.69738972E+01 -0.93467507E-17
    1480 -0.69744929E+01 -0.93466072E-17
    1481 -0.69750390E+01 -0.93466053E-17
    1482 -0.69755838E+01 -0.93466403E-17
    1483 -0.69762454E+01 -0.93464532E-17
    1484 -0.69768348E+01 -0.93466295E-17
    1485 -0.69774252E+01 -0.93466542E-17
    1486 -0.69779704E+01 -0.93465827E-17
    1487 -0.69785887E+01 -0.93467103E-17
    1488 -0.69790809E+01 -0.93467204E-17
    1489 -0.69795743E+01 -0.93469098E-17
    1490 -0.69800343E+01 -0.93471113E-17
    1491 -0.69807575E+01 -0.93472574E-17
    1492 -0.69813522E+01 -0.93473363E-17
    1493 -0.69818738E+01 -0.93473967E-17
    1494 -0.69824066E+01 -0.93474832E-17
    1495 -0.69829557E+01 -0.93475494E-17
    1496 -0.69835857E+01 -0.93476426E-17
    1497 -0.69841698E+01 -0.93476372E-17
